model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.66,0,2.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02353539998875931,96.66,96.66,0,
mnist_linear,infer,stress,clip,1,202664700001,96.66,0,4.0,3252224,2,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02890029997797683,96.66,96.66,0,
mnist_linear,infer,stress,clip,2,202664700002,96.66,0,1.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.026719700021203607,96.66,96.66,0,
mnist_linear,infer,stress,clip,3,202664700003,96.66,0,2.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02310730001772754,96.66,96.66,0,
mnist_linear,infer,stress,clip,4,202664700004,96.66,0,1.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.023096399992937222,96.66,96.66,0,
mnist_linear,infer,stress,clip,5,202664700005,96.66,0,2.0,3252224,1,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02217959999688901,96.66,96.66,0,
mnist_linear,infer,stress,clip,6,202664700006,96.66,0,5.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.023396400007186458,96.66,96.66,0,
mnist_linear,infer,stress,clip,7,202664700007,96.66,0,0.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.021872100012842566,96.66,96.66,0,
mnist_linear,infer,stress,clip,8,202664700008,96.66,0,2.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.022267899999860674,96.66,96.66,0,
mnist_linear,infer,stress,clip,9,202664700009,96.7,0,3.0,3252224,0,1,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02248059998964891,96.66,96.7,0,
