model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,12.45,0,5130.0,3252224,1319,165,1.0,1e-06,0.05,,2,,0,60000,10000,0.09498840000014752,96.66,12.45,0,
mnist_linear,infer,stress,none,1,202613591001,10.0,1,5217.0,3252224,1295,153,1.0,1e-06,0.05,,2,,0,60000,10000,0.09065779999946244,96.66,10.0,0,
mnist_linear,infer,stress,none,2,202613591002,7.45,0,5078.0,3252224,1251,145,1.0,1e-06,0.05,,2,,0,60000,10000,0.10122070001671091,96.66,7.45,0,
mnist_linear,infer,stress,none,3,202613591003,12.35,0,5127.0,3252224,1288,166,1.0,1e-06,0.05,,2,,0,60000,10000,0.10065060001215898,96.66,12.35,0,
mnist_linear,infer,stress,none,4,202613591004,10.0,1,4938.0,3252224,1244,179,1.0,1e-06,0.05,,2,,0,60000,10000,0.08752000000094995,96.66,10.0,0,
mnist_linear,infer,stress,none,5,202613591005,10.0,1,5136.0,3252224,1282,160,1.0,1e-06,0.05,,2,,0,60000,10000,0.10715229998459108,96.66,10.0,0,
mnist_linear,infer,stress,none,6,202613591006,16.46,0,5000.0,3252224,1268,163,1.0,1e-06,0.05,,2,,0,60000,10000,0.1060398000117857,96.66,16.46,0,
mnist_linear,infer,stress,none,7,202613591007,10.0,1,5103.0,3252224,1286,154,1.0,1e-06,0.05,,2,,0,60000,10000,0.08299880000413395,96.66,10.0,0,
mnist_linear,infer,stress,none,8,202613591008,10.0,1,5140.0,3252224,1288,165,1.0,1e-06,0.05,,2,,0,60000,10000,0.08275770000182092,96.66,10.0,0,
mnist_linear,infer,stress,none,9,202613591009,19.29,0,4927.0,3252224,1211,142,1.0,1e-06,0.05,,2,,0,60000,10000,0.10233069999958389,96.66,19.29,0,
